"cus_id","comment_time","comment_star","cus_comment","shopID"
"蜜汁鸡腿儿","2024-02-04 12:54","sml-str50","清迈的爱丽丝Cafe完全不踩雷，沖就完了！
<爱丽丝梦游仙境>-清迈网红店
又叫Chom Cafe 导航可搜到
纠结了很久要不要来
怕人多 怕地方小 怕东西难吃
好了我替你们试过了 完全没有踩雷！
我们13:00左右到达，前方有五桌，排队很快，大概15-20分钟！因为这里分四个就餐区域，招待用餐的地方很大，很多台子！吃的喝的东西品种非常多！
推荐泰北香煎鲈鱼套餐，小料放进叶子里，夹一块鲈鱼吃，很美味！还有孩子爱吃的蛋糕冰激凌没有一个踩雷，无论你是用餐还是下午茶都可以在这里待很久，吃一会出去拍个照！
最贴心的还是可以微信，支付宝银联支付，非常贴心！
花园很大，确实有很多好看好拍的角度
来吧 做小妖精吧
定位Chom Cafe&restaurant，距离古城十公里不到，可以Bolt或者Crab过来100多•就到了
还有什么疑问，评论区留言，我来告诉你们
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"林妮婷","2024-02-07 18:08","sml-str45","清迈稀有性，大众点评找到的网红店，人非常多，我们到的时候等了下位置，前几天海鲜吃了太多了，今年换下风味，不得不说这家的味道比我们上海的泰国菜好吃很多，每个菜都很有特色，味道很棒，价钱不算便宜，但是物有所值。环境非常的美，我们到了已经傍晚了，也拍了一些视频，晚上有晚上的风景，也很不错。很值得去的一家。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"吉普赛男爵","2024-02-09 14:31","sml-str45","[薄荷]环境：
面积不大的森林景观，营造的很有氛围感，早上阳光透过树萌别有一番意境。游客都是奔着景观来的，到了后就开始各种凹造型，拍拍拍成为了必不可少的环节。

[服务铃]服务：
与国内网红店所不同的是虽然景观出众，但菜品也完全在线。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"何小妹","2024-02-19 23:34","sml-str45","[薄荷]环境：
环境就像专门为中国小姐姐设计的一样，这里有很多中国人小姐姐来拍照，友情提示穿裙子特别出片，不拍照的男士还可以在里面喝咖啡，拍完照还能在这儿吃饭️主打知道全程一条龙服务，男生女生都考虑到了，推荐推荐～
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"饺子不带皮","2024-02-15 23:10","sml-str45","‌‍‍‌‍​‌‌‍​‍‍‌‌‌​‍‍‍‍‍​‍‍‌‌‌​‌‌‌‌‌​‌‍‍‌‍​‌‌‍​‍‌‌‌‌​‌‍‍‍‍​‌‍‍‍‍​‌‌‍‌​‌‍‍‌‍​‌‌‍​‌‌‌‌‌​‍‌‍‌​‍‍‍‍‌​‍‌‌‌​‌‍​‌‍‍‌​‌‍‍‌​‌‍‍‌‍​‌‌‍​‍‍‌‌‌​‌‌‌‌‌​‌‍‍‍‍​‌‌‍‌​‌‍‍‌‍​‌‌‍​‍‌‌‌‌​‌‌‍‍‍​‌‍‍‍‍​‍‍‍‍‍我最近去了一家当地人推荐的餐厅，名叫Chom。一进入餐厅，我就被它的户外园林设计所吸引住了。绿树成荫，花团锦簇，仿佛置身于一个小型花园中。

进入餐厅后才发现里面非常宽敞。白天的时候，他们提供早午茶和咖啡，在这里坐着品尝美食，感觉格外惬意。晚上则是提供海鲜正餐等多样选择。

我点了几个特色菜品来尝试。首先是烤清迈大学虾，这道菜呈现在我面前时让我眼前一亮。虾肉鲜嫩多汁，配上香辣的调料和微微的炭火味道，简直是美味至极。

接下来是烤小澳洲龙虾。这道菜以其巨大的龙虾令人印象深刻。龙虾肉质鲜美细腻，加上特制的蘸料调味更加丰富。

冬阴功汤也是我的必点之一。浓郁的香辣口味让人垂涎欲滴，汤中的鱼片、蘑菇和香茅等配料都非常新鲜。

最后是鸡肉泰式火锅。这道菜以其独特的火锅形式吸引了我。辣椒、柠檬草和其他香料的调味让整个火锅散发着诱人的香气，而嫩滑的鸡肉则完美地融合了所有食材的味道。

总体来说，Chom是一家非常值得推荐的餐厅。不仅环境优美，还有丰富多样的美食选择。无论是白天还是晚上，这里都能带给你一次难忘的用餐体验。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"VictorH","2024-01-25 23:53","sml-str45","吃过饭才去的，慕名而来，不虚此行
[薄荷]环境：
到的时候是饭点人满为患，室外的环境真的是爱丽丝梦游仙境一般✺◟◞✺
本人对热带雨林情有独钟，特别是青苔和蕨类植物，很值得，拍照很漂亮，可惜手残

[服务铃]服务：
服务很到位，很礼貌又有眼力见
点了甜点和饮品，「柠檬芝士」是个人最喜欢的
「椰子沙冰」也值得尝试，浓浓的椰子味
还会再来尝尝菜品
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Aquarius熊爸","2024-01-27 12:12","sml-str50","清迈网红咖啡店&西餐厅打卡

这家咖啡店被誉为爱丽丝梦游仙境，主要是因为咖啡店的山水苔藓造景，并配以人工造雾，置身园区中仿佛是在爱丽丝梦游的仙境中游走。

院子里的植被特别茂盛丰富，水系充裕，地上种满了苔藓，非常合适打卡拍照。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"阿鲁迪巴","2024-01-26 21:20","sml-str50","很少给5星，但是这家餐厅真的让我体会到了泰国的精致和高超的景观设计理念。
清迈最卷的应该就是cafe & restaurant了吧。
宛如置身在爱丽丝梦游仙境的童话世界中，早晨或者下午黄昏时分是拍照打卡最佳时机。
推荐坐在户外，可以一边听着小瀑布的水声，一边进餐。
据说是米其林推荐的餐馆？各类菜品均味蕾在线，丝毫没有踩雷，大胆放心的点，蓝莓冰沙非常好喝，一个人就喝了两杯，价格在上海的消费水平来说非常感人…
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"imshino","2024-02-10 13:34","sml-str45","[薄荷]环境:
大部分是冲着环境来打卡的，11点半到的，不用排队，后面就要排了，环境确实很美，但拍照的妹子也太多，只能见缝插针拍了

菜品味道摆盘都不错，价格基本上比外面的餐厅要贵一倍，不过折算人民币还可以，和上海的网红餐厅比还算便宜，5个人也就吃了三百多

[服务铃]服务:
可以看得出服务员很努力了，奈何人太多，有点应接不暇
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"winfery","2024-02-10 12:10","sml-str40","这是一个泰国菜和西餐相结合的餐厅，也算网红餐厅，大家过来主要还是打卡拍照，感觉中国游客偏多，外国游客本地人比较少，估计是在国内做的宣传多一些。
总的来说，他的菜品还可以。烤猪颈肉非常好吃，德国脆皮猪手就一般般，感觉炸得有点太过于硬了，如果没有很好的牙齿是吃不动的，其他的菜都中规中矩，没有什么特别之处，总体价格算是偏贵。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
